-0.5,-0.5,0.2,-0.1,0.1,-2.3562,0.1,0.1,0,0,0,0,0
-0.50109,-0.48558,0.19259,0.057451,0.12228,-2.2382,0.058328,0.12978,0.35,0.35,0.31472,0.35,0
-0.48233,-0.4809,0.18189,0.17261,0.13353,-2.1288,0.023417,0.13683,0.7,0.7,0.65551,0.0825,0
-0.46781,-0.47442,0.17227,0.25444,0.13907,-2.0236,-0.014698,0.13126,1.05,1.05,0.96846,-0.075031,0
-0.45656,-0.46702,0.16374,0.31359,0.14134,-1.9228,-0.056944,0.11983,1.4,1.4,1.2399,-0.1686,0
-0.46682,-0.46907,0.1528,0.35674,0.14137,-1.8264,-0.10235,0.10605,1.75,1.1327,1.4688,-0.22436,0
-0.47682,-0.47017,0.1427,0.39252,0.13789,-1.733,-0.14941,0.092271,2.1,0.92057,1.6711,-0.25979,0
-0.48596,-0.47069,0.13366,0.42255,0.13157,-1.6427,-0.1972,0.079053,2.426,0.751,1.849,-0.28123,0
-0.49363,-0.47094,0.12594,0.4479,0.12294,-1.5558,-0.24503,0.066696,2.7059,0.61486,2.0045,-0.29301,0
-0.50007,-0.47099,0.11936,0.46929,0.11246,-1.4723,-0.29244,0.055334,2.9456,0.50544,2.1399,-0.29807,0
-0.50547,-0.47091,0.11374,0.48729,0.10052,-1.3922,-0.33905,0.045017,3.1506,0.41738,2.2573,-0.29856,0
-0.51,-0.47074,0.10896,0.50242,0.087473,-1.3155,-0.3846,0.03574,3.3256,0.34645,2.3588,-0.29598,0
-0.51382,-0.47051,0.10489,0.51509,0.073592,-1.2422,-0.42887,0.027464,3.4751,0.28928,2.4466,-0.29138,0
-0.51702,-0.47025,0.10141,0.52568,0.059126,-1.1721,-0.47171,0.020131,3.603,0.24317,2.5224,-0.28549,0
-0.51973,-0.46997,0.098438,0.53449,0.044283,-1.1052,-0.51303,0.01367,3.7125,0.20598,2.5881,-0.27882,0
-0.52202,-0.46968,0.095888,0.54181,0.029246,-1.0415,-0.55273,0.0080073,3.8066,0.17602,2.6451,-0.27169,0
-0.52396,-0.46938,0.093695,0.54786,0.014167,-0.98097,-0.59077,0.003067,3.8877,0.15191,2.6947,-0.26434,0
-0.52561,-0.46908,0.091799,0.55284,-0.00082001,-0.92346,-0.6271,-0.0012238,3.9579,0.13256,2.7381,-0.2569,0
-0.52702,-0.46878,0.090153,0.55691,-0.0156,-0.86895,-0.6617,-0.0049342,4.019,0.11708,2.7763,-0.24947,0
-0.52824,-0.46849,0.088716,0.56022,-0.030075,-0.81741,-0.69456,-0.0081284,4.0724,0.10476,2.8101,-0.2421,0
-0.52929,-0.4682,0.087454,0.56289,-0.044155,-0.76879,-0.72566,-0.010865,4.1195,0.095008,2.8401,-0.23484,0
-0.5302,-0.46792,0.086337,0.56502,-0.057766,-0.72307,-0.75498,-0.013198,4.1611,0.087355,2.867,-0.22771,0
-0.531,-0.46764,0.085344,0.56671,-0.070839,-0.68021,-0.78254,-0.015176,4.1983,0.081403,2.8912,-0.22074,0
-0.5317,-0.46737,0.084454,0.56801,-0.083314,-0.64022,-0.8083,-0.016841,4.2317,0.076821,2.9132,-0.21394,0
-0.53232,-0.46711,0.08365,0.56901,-0.095139,-0.60307,-0.83227,-0.018233,4.2618,0.073329,2.9333,-0.20732,0
