0,0,0,0,0,0
1.976e-24,0.00023151,-0.00025863,2.7118e-05,1.2899e-23,3.6193e-21
-5.3229e-09,0.00069454,-0.00077589,8.1351e-05,-5.3229e-09,1.7851e-09
-3.726e-08,0.0013891,-0.0015518,0.00016269,-3.726e-08,1.2496e-08
-1.3307e-07,0.0023151,-0.0025863,0.00027113,-1.3307e-07,4.4628e-08
-3.4599e-07,0.0034727,-0.0038795,0.00040664,-3.4599e-07,1.1603e-07
-7.452e-07,0.0048618,-0.0054312,0.0005692,-7.452e-07,2.4992e-07
-1.4159e-06,0.0064824,-0.0072416,0.00075876,-1.4159e-06,4.7484e-07
-2.4592e-06,0.0083344,-0.0093105,0.00097528,-2.4592e-06,8.2472e-07
-3.9921e-06,0.010418,-0.011638,0.0012187,-3.9921e-06,1.3388e-06
-6.1478e-06,0.012733,-0.014224,0.0014889,-6.1478e-06,2.0617e-06
-9.0753e-06,0.015279,-0.017068,0.0017857,-9.0753e-06,3.0434e-06
-1.2939e-05,0.018057,-0.020171,0.0021091,-1.2939e-05,4.3392e-06
-1.7921e-05,0.021066,-0.023531,0.0024589,-1.7921e-05,6.0096e-06
-2.4217e-05,0.024307,-0.02715,0.0028348,-2.4217e-05,8.1206e-06
-3.2041e-05,0.027779,-0.031026,0.0032366,-3.2041e-05,1.0743e-05
-4.1619e-05,0.031481,-0.035159,0.003664,-4.1619e-05,1.3954e-05
-5.3198e-05,0.035415,-0.039549,0.0041165,-5.3198e-05,1.7835e-05
-6.7038e-05,0.03958,-0.044196,0.0045939,-6.7038e-05,2.2473e-05
-8.3413e-05,0.043975,-0.049098,0.0050955,-8.3413e-05,2.7959e-05
-0.00010262,0.0486,-0.054255,0.0056207,-0.00010262,3.4391e-05
-0.00012495,0.053456,-0.059667,0.006169,-0.00012495,4.1871e-05
-0.00015075,0.058541,-0.065331,0.0067394,-0.00015075,5.0507e-05
-0.00018034,0.063856,-0.071248,0.0073311,-0.00018034,6.0409e-05
-0.00021409,0.0694,-0.077415,0.0079432,-0.00021409,7.1695e-05
-0.00025235,0.075173,-0.083832,0.0085744,-0.00025235,8.4485e-05
-0.00029551,0.081174,-0.090496,0.0092236,-0.00029551,9.8907e-05
-0.00034398,0.087402,-0.097406,0.0098892,-0.00034398,0.00011509
-0.00039816,0.093857,-0.10456,0.01057,-0.00039816,0.00013317
-0.00045848,0.10054,-0.11196,0.011263,-0.00045848,0.00015328
-0.00052539,0.10745,-0.11959,0.011968,-0.00052539,0.00017556
-0.00059934,0.11458,-0.12746,0.012682,-0.00059934,0.00020017
-0.00068081,0.12193,-0.13556,0.013403,-0.00068081,0.00022725
-0.00077027,0.12951,-0.14389,0.014129,-0.00077027,0.00025695
-0.00086823,0.13731,-0.15245,0.014855,-0.00086823,0.00028943
-0.0009752,0.14533,-0.16123,0.015581,-0.0009752,0.00032484
-0.0010917,0.15356,-0.17023,0.016302,-0.0010917,0.00036335
-0.0012183,0.16202,-0.17944,0.017015,-0.0012183,0.00040512
-0.0013554,0.17069,-0.18886,0.017716,-0.0013554,0.0004503
-0.0015038,0.17957,-0.19847,0.018402,-0.0015038,0.00049907
-0.0016639,0.18867,-0.20829,0.019068,-0.0016639,0.00055158
-0.0018363,0.19798,-0.2183,0.019711,-0.0018363,0.00060801
-0.0020217,0.20749,-0.22849,0.020324,-0.0020217,0.00066852
-0.0022205,0.21721,-0.23885,0.020903,-0.0022205,0.00073328
-0.0024335,0.22714,-0.24939,0.021444,-0.0024335,0.00080244
-0.0026613,0.23727,-0.26008,0.02194,-0.0026613,0.00087617
-0.0029045,0.2476,-0.27094,0.022386,-0.0029045,0.00095464
